Number,Question
1,"Ідеальний Протокол голосування. Розкрийте загальні вимоги."
2,"Актори у протоколі е-голосування. Розкрийте сценарій і їх ролі та зацікавленості."
3,"Ідеальний Протокол голосування. Вимоги, їх роль у Протоколі."
4,"Розкрийте вимогу до ІПГ: «Голосувати можуть тільки ті, хто має на це право»."
5,"Розкрийте вимогу до ІПГ: «Кожен може голосувати не більше 1 раза»."
6,"Розкрийте вимогу до ІПГ: «Ніхто не може дізнатися, за кого проголосував конкретний виборець»."
7,"Розкрийте вимогу до ІПГ: «Ніхто не може проголосувати замість іншого»."
8,"Розкрийте вимогу до ІПГ: «Ніхто не може таємно змінити чийсь голос»."
9,"Розкрийте вимогу до ІПГ: «Кожен, хто проголосував, може перевірити, що його голос враховано при підрахунку»."
10,"Розкрийте вимогу до ІПГ: «Кожен може знати, хто проголосував, а хто ні»."
11,"Простий ПГ 1. Актори, реквізити, сценарій, ролі та зацікавленості."
12,"Простий ПГ 1. Актори, сценарій, недоліки, переваги."
13,"Простий ПГ 2. Актори, реквізити, сценарій, ролі та зацікавленості."
14,"Простий ПГ 2. Актори, сценарій, Недоліки, переваги."
15,"Простий ПГ (мінімальний). Сценарій. Приклад виконання процедури."
16,"Простий ПГ (мінімальний). Аналіз властивостей прикладу на відповідність вимогам."
17,"Простий ПГ (мінімальний). Аналіз недоліків і переваг."
18,"Простий ПЕГ (№2). Актори, реквізити, сценарій, ролі та зацікавленості."
19,"Простий ПЕГ (№2). Особливості. Бланк бюлетеня до акта вибору і після."
20,"Простий ПЕГ (№2). Приклади відмінностей формування і інтерпретації числового бланку бюлетеня до акта вибору і після."
21,"Простий ПЕГ (№2). Роль індивідуальних ключів, або пар ключів у Протоколі."
22,"Простий ПЕГ (№2). Аналіз недоліків і переваг."
23,"Простий ПГ, пари ключів суб'єктів використовуються для множення/ділення за (mod р). Як виключити обчислення зловмисником приватного ключа суб'єкта за його публічним ключем?"
24,"Простий ПГ. Опишіть загальні процедури шифрування і дешифрування."
25,"Простий ПГ. Розкрийте поняття взаємної оберненість пар ключів."
26,"Простий ПГ. Якими методами можна отримати обернений ключ до обраного прямого?"
27,"Опишіть Протокол сліпого підпису при голосуванні."
28,"Наведіть критичний аналіз Протоколу зі сліпими підписами."
29,"Як уникнути -кратного голосування одного виборця у Протоколі зі сліпими підписами."
30,"Сценарій та властивості сліпого підпису документів."
31,"Опишіть повністю сліпий підпис. Актори, мета, сценарій."
32,"Повністю сліпий підпис. Критичний аналіз. Переваги і недоліки."
33,"Повністю сліпий підпис. Прокоментуйте властивості."
34,"Опишіть Протокол Е-голосування зі сліпими підписами."
35,"Переваги і недоліки Протоколу Е-голосування зі сліпими підписами. Відповідність вимогам."
36,"Проаналізуйте проблеми Протокола Е-голосування зі сліпими підписами."
37,"Вплив рівня відповідальності «сліпого» підписанта на використання ПСП у суспільстві."
38,"ПСП. Сутність техніки «розрізати та обрати» з метою набути уявлення про зміст документа."
39,"Криптографічний алгоритм RSA. Призначення, властивості."
40,"Процедура генерації ключів RSA (для кожного суб'єкта комунікацій)."
41,"Криптографічний алгоритм RSA. Процедура шифрування повідомлення. Ключ шифрування."
42,"Криптографічний алгоритм RSA. Процедура дешифрування криптограми. Ключ дешифрування."
43,"Якими властивостями ідеального голосування володіє протокол Е-голосування зі сліпим підписом?"
44,"Які загрози притаманні протоколу Е-голосування зі сліпим підписом?"
45,"Що таке сліпий цифровий підпис та для чого він використовується?"
46,"Опишіть алгоритм сліпого цифрового підпису RSA."
47,"Які способи шахраювання доступні виборцю при Е-голосуванні зі сліпим підписом?"
48,"Які способи шахраювання доступні ВК при е-голосуванні зі сліпим підписом?"
49,"Призначення і властивості підпису на документі. Ідеальні риси підпису (вимоги до підпису)."
50,"Проаналізуйте проблеми впровадження підпису на обчислювальних пристроях."
51,"Протокол не сліпого підпису з Посередником. Актори, сценарій, Протокол НСП."
52,"Проаналізуйте, чи відповідає ПНСП з Посередником вимогам підпису на папері?"
53,"ПНСП з Посередником. Як суб'єкт В може продемонструвати суб'єкту К повідомлення М від суб'єкта А і довести його достовірність,"
54,"Наведіть критичний аналіз Протоколів НСП з Посередником."
55,"Підпис повідомлення М на базі криптографії з відкритими ключами. Протокол, властивості."
56,"Підпис повідомлення М на базі криптографії з відкритими ключами. Відповідність вимогам."
57,"Підпис документа М з відміткою часу. Від яких шахрайських дій убезпечує?"
58,"Підпис документа М в асиметричних алгоритмах з відкритими ключами та хеш-функціями."
59,"Алгоритм RSA. Опишіть односторонні функціональні перетворення, у яких часто виникає потреба у сучасній криптографії. Спільні риси, відмінності."
60,"Алгоритм RSA. Мотивація створення. Поділ цілих чисел на області. Алфавіти символів."
